Chemical,Chemical ID,Gene,Gene ID,Phenotype,Phenotype ID,Disease,Disease ID,Evidence Strength Score
Mannitol,D008353,BAX,581,apoptotic process,GO:0006915,Acute Kidney Injury,D058186,204
Mannitol,D008353,NPPA,4878,regulation of blood pressure,GO:0008217,Acute Kidney Injury,D058186,204
Mannitol,D008353,SOD1,6647,apoptotic process,GO:0006915,Acute Kidney Injury,D058186,204
Mannitol,D008353,TP53,7157,apoptotic process,GO:0006915,Acute Kidney Injury,D058186,204
Mannitol,D008353,HMOX1,3162,apoptotic process,GO:0006915,Acute Kidney Injury,D058186,204
Mannitol,D008353,HMOX1,3162,response to oxidative stress,GO:0006979,Acute Kidney Injury,D058186,170
Mannitol,D008353,SOD1,6647,response to oxidative stress,GO:0006979,Acute Kidney Injury,D058186,170
Mannitol,D008353,TP53,7157,response to oxidative stress,GO:0006979,Acute Kidney Injury,D058186,170
Mannitol,D008353,TP53,7157,cell population proliferation,GO:0008283,Acute Kidney Injury,D058186,102
Mannitol,D008353,TNF,7124,negative regulation of mitotic cell cycle,GO:0045930,Acute Kidney Injury,D058186,102
Mannitol,D008353,IGF1,3479,cell population proliferation,GO:0008283,Acute Kidney Injury,D058186,102
Mannitol,D008353,BAX,581,cell population proliferation,GO:0008283,Acute Kidney Injury,D058186,102
Mannitol,D008353,BAX,581,regulation of mitochondrial membrane potential,GO:0051881,Acute Kidney Injury,D058186,68
Mannitol,D008353,HMOX1,3162,regulation of blood pressure,GO:0008217,Acute Kidney Injury,D058186,68
Mannitol,D008353,SOD1,6647,regulation of blood pressure,GO:0008217,Acute Kidney Injury,D058186,68
Mannitol,D008353,SOD1,6647,regulation of mitochondrial membrane potential,GO:0051881,Acute Kidney Injury,D058186,68
Mannitol,D008353,CASP3,836,apoptotic process,GO:0006915,Cerebral Hemorrhage,D002543,54
Mannitol,D008353,BCL2,596,apoptotic process,GO:0006915,Necrosis,D009336,36
Mannitol,D008353,CASP3,836,apoptotic process,GO:0006915,Brain Ischemia,D002545,36
Mannitol,D008353,TP53,7157,cellular response to DNA damage stimulus,GO:0006974,Acute Kidney Injury,D058186,34
Mannitol,D008353,TP53,7157,negative regulation of mitotic cell cycle,GO:0045930,Acute Kidney Injury,D058186,34
Mannitol,D008353,IL6,3569,cell differentiation,GO:0030154,Acute Kidney Injury,D058186,34
Mannitol,D008353,BAX,581,cellular response to DNA damage stimulus,GO:0006974,Acute Kidney Injury,D058186,34
Mannitol,D008353,CAT,847,response to oxidative stress,GO:0006979,Necrosis,D009336,30
Mannitol,D008353,HMOX1,3162,apoptotic process,GO:0006915,Reperfusion Injury,D015427,30
Mannitol,D008353,BCL2,596,response to oxidative stress,GO:0006979,Necrosis,D009336,30
Mannitol,D008353,HMOX1,3162,response to oxidative stress,GO:0006979,Reperfusion Injury,D015427,25
Mannitol,D008353,SOD1,6647,apoptotic process,GO:0006915,Hypotension,D007022,24
Mannitol,D008353,SOD1,6647,apoptotic process,GO:0006915,"Ischemic Attack, Transient",D002546,24
Mannitol,D008353,SOD1,6647,apoptotic process,GO:0006915,Reperfusion Injury,D015427,24
Mannitol,D008353,TP53,7157,apoptotic process,GO:0006915,Glioma,D005910,24
Mannitol,D008353,CAT,847,response to oxidative stress,GO:0006979,Hypotension,D007022,20
Mannitol,D008353,CAT,847,response to oxidative stress,GO:0006979,Reperfusion Injury,D015427,20
