Chemical,Chemical ID,Gene,Gene ID,Phenotype,Phenotype ID,Disease,Disease ID,Evidence Strength Score
Permethrin,D026023,AR,367,negative regulation of cell population proliferation,GO:0008285,Prostatic Neoplasms,D011471,252
Permethrin,D026023,AR,367,positive regulation of cell population proliferation,GO:0008284,Prostatic Neoplasms,D011471,252
Permethrin,D026023,SOD1,6647,reactive oxygen species metabolic process,GO:0072593,"Disease Models, Animal",D004195,198
Permethrin,D026023,SOD1,6647,superoxide dismutase activity,GO:0004784,"Disease Models, Animal",D004195,198
Permethrin,D026023,TNF,7124,negative regulation of cell population proliferation,GO:0008285,Inflammation,D007249,192
Permethrin,D026023,TNF,7124,positive regulation of cell population proliferation,GO:0008284,Inflammation,D007249,192
Permethrin,D026023,NFE2L2,4780,reactive oxygen species metabolic process,GO:0072593,"Disease Models, Animal",D004195,180
Permethrin,D026023,MAPK1,5594,cellular response to DNA damage stimulus,GO:0006974,"Disease Models, Animal",D004195,135
Permethrin,D026023,AR,367,positive regulation of intracellular estrogen receptor signaling pathway,GO:0033148,Prostatic Neoplasms,D011471,126
Permethrin,D026023,AR,367,regulation of gene expression,GO:0010468,Prostatic Neoplasms,D011471,126
Permethrin,D026023,AR,367,seminiferous tubule development,GO:0072520,Prostatic Neoplasms,D011471,126
Permethrin,D026023,AR,367,spermatogenesis,GO:0007283,Prostatic Neoplasms,D011471,126
Permethrin,D026023,IL6,3569,negative regulation of cell population proliferation,GO:0008285,Inflammation,D007249,110
Permethrin,D026023,IL6,3569,positive regulation of cell population proliferation,GO:0008284,Inflammation,D007249,110
Permethrin,D026023,MAPK3,5595,cellular response to DNA damage stimulus,GO:0006974,"Disease Models, Animal",D004195,108
Permethrin,D026023,TNF,7124,negative regulation of cell population proliferation,GO:0008285,"Disease Models, Animal",D004195,108
Permethrin,D026023,TNF,7124,positive regulation of cell population proliferation,GO:0008284,"Disease Models, Animal",D004195,108
Permethrin,D026023,SOD1,6647,hydrogen peroxide biosynthetic process,GO:0050665,"Disease Models, Animal",D004195,99
Permethrin,D026023,SOD1,6647,spermatogenesis,GO:0007283,"Disease Models, Animal",D004195,99
Permethrin,D026023,SOD1,6647,response to oxidative stress,GO:0006979,"Disease Models, Animal",D004195,99
Permethrin,D026023,SOD1,6647,transmission of nerve impulse,GO:0019226,"Disease Models, Animal",D004195,99
