Chemical,Chemical ID,Gene,Gene ID,Phenotype,Phenotype ID,Disease,Disease ID,Evidence Strength Score
Prednisolone,D011239,IL1B,3553,apoptotic process,GO:0006915,Hypertension,D006973,1000
Prednisolone,D011239,IL1B,3553,apoptotic process,GO:0006915,Inflammation,D007249,720
Prednisolone,D011239,NR3C1,2908,apoptotic process,GO:0006915,Hypertension,D006973,700
Prednisolone,D011239,IL1B,3553,apoptotic process,GO:0006915,"Arthritis, Rheumatoid",D001172,660
Prednisolone,D011239,IFNG,3458,apoptotic process,GO:0006915,Proteinuria,D011507,640
Prednisolone,D011239,IL1B,3553,apoptotic process,GO:0006915,"Colitis, Ulcerative",D003093,480
Prednisolone,D011239,TNF,7124,positive regulation of nitric oxide biosynthetic process,GO:0045429,Inflammation,D007249,448
Prednisolone,D011239,TNF,7124,positive regulation of nitric oxide biosynthetic process,GO:0045429,"Arthritis, Rheumatoid",D001172,385
Prednisolone,D011239,TNF,7124,positive regulation of nitric oxide biosynthetic process,GO:0045429,Hypertension,D006973,350
Prednisolone,D011239,TNF,7124,positive regulation of nitric oxide biosynthetic process,GO:0045429,Chemical and Drug Induced Liver Injury,D056486,343
Prednisolone,D011239,IL1B,3553,apoptotic process,GO:0006915,Fever,D005334,300
Prednisolone,D011239,ALB,213,bilirubin transport,GO:0015723,Proteinuria,D011507,288
Prednisolone,D011239,IFNG,3458,apoptotic process,GO:0006915,Chemical and Drug Induced Liver Injury,D056486,280
Prednisolone,D011239,IL1B,3553,apoptotic process,GO:0006915,Chemical and Drug Induced Liver Injury,D056486,280
Prednisolone,D011239,TNF,7124,positive regulation of nitric oxide biosynthetic process,GO:0045429,Asthma,D001249,252
Prednisolone,D011239,IL6,3569,cell redox homeostasis,GO:0045454,Hypertension,D006973,250
Prednisolone,D011239,IL6,3569,positive regulation of apoptotic DNA fragmentation,GO:1902512,Hypertension,D006973,250
Prednisolone,D011239,IL6,3569,positive regulation of nitric oxide biosynthetic process,GO:0045429,Hypertension,D006973,250
Prednisolone,D011239,IFNG,3458,apoptotic process,GO:0006915,Inflammation,D007249,240
Prednisolone,D011239,IL1B,3553,apoptotic process,GO:0006915,Myocardial Infarction,D009203,240
Prednisolone,D011239,IFNG,3458,apoptotic process,GO:0006915,"Arthritis, Rheumatoid",D001172,220
Prednisolone,D011239,IL6,3569,cell redox homeostasis,GO:0045454,Inflammation,D007249,220
Prednisolone,D011239,IL6,3569,positive regulation of apoptotic DNA fragmentation,GO:1902512,Inflammation,D007249,220
Prednisolone,D011239,IL6,3569,positive regulation of nitric oxide biosynthetic process,GO:0045429,Inflammation,D007249,220
Prednisolone,D011239,IL1B,3553,positive regulation of nitric oxide biosynthetic process,GO:0045429,Hypertension,D006973,200
Prednisolone,D011239,IL1B,3553,apoptotic process,GO:0006915,Glomerulonephritis,D005921,160
Prednisolone,D011239,KMT2A,4297,apoptotic process,GO:0006915,Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198,150
Prednisolone,D011239,IL1B,3553,positive regulation of nitric oxide biosynthetic process,GO:0045429,Inflammation,D007249,144
Prednisolone,D011239,TGFB1,7040,cell population proliferation,GO:0008283,Nephrotic Syndrome,D009404,144
