Chemical,Chemical ID,Gene,Gene ID,Phenotype,Phenotype ID,Disease,Disease ID,Evidence Strength Score
Thiamine,D013831,CAT,847,antioxidant activity,GO:0016209,Seizures,D012640,6
Thiamine,D013831,TNF,7124,regulation of metabolic process,GO:0019222,Heart Failure,D006333,5
Thiamine,D013831,TNF,7124,negative regulation of mitotic cell cycle,GO:0045930,Heart Failure,D006333,5
Thiamine,D013831,BCL2,596,apoptotic process,GO:0006915,Nerve Degeneration,D009410,4
Thiamine,D013831,BCL2,596,cell population proliferation,GO:0008283,Nerve Degeneration,D009410,4
Thiamine,D013831,BCL2,596,cellular response to DNA damage stimulus,GO:0006974,Nerve Degeneration,D009410,4
Thiamine,D013831,BCL2,596,negative regulation of mitotic cell cycle,GO:0045930,Nerve Degeneration,D009410,4
Thiamine,D013831,IL1B,3553,apoptotic process,GO:0006915,Cardiomyopathies,D009202,4
Thiamine,D013831,IL1B,3553,apoptotic process,GO:0006915,Seizures,D012640,4
Thiamine,D013831,TNF,7124,negative regulation of mitotic cell cycle,GO:0045930,Urticaria,D014581,3
Thiamine,D013831,TNF,7124,regulation of metabolic process,GO:0019222,Nerve Degeneration,D009410,3
Thiamine,D013831,TNF,7124,regulation of metabolic process,GO:0019222,Urticaria,D014581,3
Thiamine,D013831,TNF,7124,negative regulation of mitotic cell cycle,GO:0045930,Nerve Degeneration,D009410,3
Thiamine,D013831,TNF,7124,negative regulation of mitotic cell cycle,GO:0045930,Drug Hypersensitivity,D004342,2
Thiamine,D013831,IL6,3569,positive regulation of apoptotic DNA fragmentation,GO:1902512,Heart Failure,D006333,2
Thiamine,D013831,IL6,3569,positive regulation of apoptotic DNA fragmentation,GO:1902512,Peripheral Nervous System Diseases,D010523,2
Thiamine,D013831,IL6,3569,positive regulation of apoptotic DNA fragmentation,GO:1902512,Seizures,D012640,2
Thiamine,D013831,NQO1,1728,superoxide dismutase activity,GO:0004784,Neoplasms,D009369,2
Thiamine,D013831,TNF,7124,negative regulation of mitotic cell cycle,GO:0045930,Cardiomyopathies,D009202,2
Thiamine,D013831,TNF,7124,regulation of metabolic process,GO:0019222,Pain,D010146,2
