Chemical,Chemical ID,Gene,Gene ID,Phenotype,Phenotype ID,Disease,Disease ID,Evidence Strength Score
trovafloxacin,C080163,TNF,7124,negative regulation of mitotic cell cycle,GO:0045930,Chemical and Drug Induced Liver Injury,D056486,1183
trovafloxacin,C080163,TNF,7124,positive regulation of ERK1 and ERK2 cascade,GO:0070374,Chemical and Drug Induced Liver Injury,D056486,1183
trovafloxacin,C080163,TNF,7124,positive regulation of inflammatory response,GO:0050729,Chemical and Drug Induced Liver Injury,D056486,1183
trovafloxacin,C080163,TNF,7124,positive regulation of JNK cascade,GO:0046330,Chemical and Drug Induced Liver Injury,D056486,1183
trovafloxacin,C080163,TNF,7124,positive regulation of cell population proliferation,GO:0008284,Chemical and Drug Induced Liver Injury,D056486,1183
trovafloxacin,C080163,IL1B,3553,positive regulation of ERK1 and ERK2 cascade,GO:0070374,Chemical and Drug Induced Liver Injury,D056486,78
trovafloxacin,C080163,IL6,3569,positive regulation of ERK1 and ERK2 cascade,GO:0070374,Chemical and Drug Induced Liver Injury,D056486,78
trovafloxacin,C080163,IL6,3569,positive regulation of cell population proliferation,GO:0008284,Chemical and Drug Induced Liver Injury,D056486,78
trovafloxacin,C080163,IL1B,3553,positive regulation of JNK cascade,GO:0046330,Chemical and Drug Induced Liver Injury,D056486,78
trovafloxacin,C080163,IL1B,3553,positive regulation of inflammatory response,GO:0050729,Chemical and Drug Induced Liver Injury,D056486,78
trovafloxacin,C080163,IL6,3569,positive regulation of apoptotic DNA fragmentation,GO:1902512,Chemical and Drug Induced Liver Injury,D056486,78
trovafloxacin,C080163,IL1B,3553,positive regulation of cell population proliferation,GO:0008284,Chemical and Drug Induced Liver Injury,D056486,78
trovafloxacin,C080163,IL1B,3553,apoptotic process,GO:0006915,Chemical and Drug Induced Liver Injury,D056486,78
trovafloxacin,C080163,IFNG,3458,positive regulation of inflammatory response,GO:0050729,Chemical and Drug Induced Liver Injury,D056486,78
